time,gap_id,side,x,y,vx,vy,ns
6.090000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
6.090000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
6.150000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
6.150000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
6.185000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
6.185000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
6.205000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
6.205000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
6.205000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
6.205000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
6.250000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
6.250000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
6.250000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
6.250000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
6.285000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
6.285000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
6.285000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
6.285000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
6.360000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
6.360000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
6.360000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
6.360000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
6.375000,10,left,3.568826,-3.407950,-0.087598,-0.081306,simp
6.375000,8,right,4.268356,-2.493580,-0.044179,-0.020601,simp
6.410000,10,left,3.568890,-3.408010,-0.158172,-0.151515,simp
6.410000,8,right,4.459019,-2.249584,0.070618,0.150959,simp
6.450000,10,left,3.570004,-3.409075,-0.215428,-0.206153,simp
6.450000,8,right,4.487001,-2.194911,0.182239,0.333756,simp
6.485000,10,left,3.572646,-3.411598,-0.250951,-0.245625,simp
6.485000,8,right,4.474439,-2.188765,0.251864,0.468393,simp
6.525000,10,left,3.577258,-3.416002,-0.271415,-0.273162,simp
6.525000,8,right,4.462491,-2.182921,0.278916,0.554834,simp
6.565000,10,left,3.587168,-3.425464,-0.261235,-0.295162,simp
6.565000,8,right,4.513713,-2.139605,0.339792,0.630875,simp
6.605000,10,left,3.572853,-3.328775,-0.263035,-0.232388,simp
6.605000,8,right,4.498184,-2.132243,0.355262,0.665829,simp
6.645000,10,left,3.576118,-3.331817,-0.257760,-0.189269,simp
6.645000,8,right,4.485698,-2.126325,0.345006,0.669474,simp
6.735000,10,left,3.582919,-3.338153,-0.246703,-0.164901,simp
6.735000,8,right,4.474661,-2.121093,0.319008,0.650318,simp
6.780000,10,left,3.596191,-3.350519,-0.232814,-0.159460,simp
6.780000,8,right,4.532032,-2.080433,0.321072,0.636055,simp
6.790000,10,left,3.598411,-3.270866,-0.220903,-0.115949,simp
6.790000,8,right,4.506393,-2.068664,0.299019,0.609649,simp
6.820000,10,left,3.604324,-3.276241,-0.208089,-0.093561,simp
6.820000,8,right,4.567664,-2.029170,0.306664,0.588317,simp
