time,gap_id,side,x,y,vx,vy,ns
5.485000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
5.485000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
5.525000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
5.525000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
5.560000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
5.560000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
5.600000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
5.600000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
5.645000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
5.645000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
5.685000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
5.685000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
5.725000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
5.725000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
5.760000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
5.760000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
5.760000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
5.760000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
5.805000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
5.805000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
5.805000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
5.805000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
5.850000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
5.850000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
5.850000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
5.850000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
5.885000,10,left,3.570561,-3.409607,-0.063627,-0.060627,simp
5.885000,8,right,4.270346,-2.494743,-0.031553,-0.015719,simp
5.920000,10,left,3.571147,-3.410166,-0.117471,-0.119398,simp
5.920000,8,right,4.462532,-2.251356,0.070681,0.128065,simp
5.960000,10,left,3.573151,-3.412080,-0.167672,-0.170905,simp
5.960000,8,right,4.453989,-2.247046,0.146182,0.254636,simp
6.005000,10,left,3.576975,-3.415732,-0.201178,-0.213210,simp
6.005000,8,right,4.480507,-2.191734,0.225928,0.395256,simp
6.050000,10,left,3.583983,-3.422424,-0.215528,-0.248004,simp
6.050000,8,right,4.469040,-2.186125,0.269747,0.492474,simp
6.080000,10,left,3.600145,-3.437857,-0.206859,-0.282774,simp
6.085000,8,right,4.458794,-2.181112,0.283414,0.547765,simp
6.125000,10,left,3.575395,-3.331143,-0.216454,-0.216705,simp
6.125000,8,right,4.504316,-2.135150,0.319800,0.601313,simp
6.170000,10,left,3.579877,-3.335319,-0.217006,-0.173063,simp
6.170000,8,right,4.491196,-2.128931,0.323265,0.618000,simp
6.205000,10,left,3.587655,-3.342566,-0.211719,-0.150028,simp
6.205000,8,right,4.480749,-2.123979,0.304741,0.607081,simp
6.245000,10,left,3.606743,-3.360350,-0.195446,-0.151271,simp
6.245000,8,right,4.534275,-2.081463,0.315133,0.600117,simp
6.285000,10,left,3.605912,-3.277685,-0.188446,-0.111164,simp
6.285000,8,right,4.508441,-2.069604,0.293132,0.574177,simp
6.325000,10,left,3.624897,-3.294941,-0.179032,-0.103009,simp
6.325000,8,right,4.555149,-2.023611,0.289634,0.552730,simp
6.365000,10,left,3.626197,-3.215592,-0.178745,-0.069415,simp
6.365000,8,right,4.523069,-2.009359,0.257828,0.516908,simp
6.405000,10,left,3.635715,-3.145032,-0.182146,-0.025660,simp
6.405000,8,right,4.557360,-1.957858,0.238280,0.487996,simp
6.445000,10,left,3.646763,-3.154589,-0.188073,-0.011609,simp
6.445000,8,right,4.593681,-1.906902,0.228130,0.462954,simp
6.480000,10,left,3.644373,-3.075000,-0.201482,0.015878,simp
6.480000,8,right,4.632716,-1.856663,0.225276,0.439862,simp
6.525000,10,left,3.668136,-3.018626,-0.210666,0.042719,simp
6.525000,8,right,4.607681,-1.781194,0.204161,0.427015,simp
6.565000,10,left,3.676154,-2.950167,-0.222482,0.072024,simp
6.565000,8,right,4.644646,-1.730146,0.191498,0.412437,simp
6.605000,10,left,3.705834,-2.973986,-0.229331,0.072574,simp
6.605000,8,right,4.692070,-1.682409,0.188488,0.395287,simp
6.645000,10,left,3.712738,-2.905204,-0.239222,0.079545,simp
6.645000,8,right,4.602916,-1.650442,0.151609,0.371363,simp
6.685000,10,left,3.727589,-2.843628,-0.249209,0.088698,simp
6.685000,8,right,4.623255,-1.593858,0.121373,0.349004,simp
6.725000,10,left,3.748157,-2.787085,-0.257526,0.097653,simp
6.725000,8,right,4.642173,-1.536782,0.096399,0.327876,simp
6.765000,10,left,3.773633,-2.734622,-0.263324,0.105000,simp
6.765000,8,right,4.659672,-1.479256,0.075404,0.307723,simp
6.805000,10,left,3.802551,-2.684895,-0.266114,0.110129,simp
6.805000,8,right,4.674674,-1.420990,0.057362,0.288452,simp
6.845000,10,left,3.831091,-2.635060,-0.266283,0.113653,simp
6.845000,8,right,4.680159,-1.360024,0.039937,0.270802,simp
6.885000,10,left,3.858983,-2.584929,-0.264814,0.115842,simp
6.885000,8,right,4.674806,-1.296352,0.020395,0.255088,simp
6.925000,10,left,3.886212,-2.534506,-0.261737,0.117042,simp
6.925000,8,right,4.658311,-1.230302,-0.002703,0.241582,simp
6.965000,10,left,3.912808,-2.483819,-0.257355,0.117481,simp
6.965000,8,right,4.733114,-1.126323,-0.008570,0.238121,simp
7.005000,10,left,3.938840,-2.432919,-0.251901,0.117331,simp
7.005000,8,right,4.665091,-1.049700,-0.030409,0.237280,simp
7.050000,10,left,3.964290,-2.381801,-0.245641,0.116703,simp
7.050000,8,right,4.599047,-0.975588,-0.064811,0.237887,simp
7.085000,10,left,3.989202,-2.330498,-0.238509,0.115746,simp
7.085000,8,right,4.526481,-0.902181,-0.110427,0.239445,simp
7.125000,10,left,4.004071,-2.273616,-0.232759,0.115569,simp
7.125000,8,right,4.493011,-0.838208,-0.157376,0.239714,simp
7.165000,10,left,4.027826,-2.222062,-0.226276,0.114965,simp
7.165000,8,right,4.520609,-0.728820,-0.192853,0.247846,simp
7.205000,10,left,4.100498,-2.262153,-0.209522,0.096050,simp
7.205000,8,right,4.451097,-0.661569,-0.237272,0.254481,simp
7.250000,10,left,4.114717,-2.204447,-0.195076,0.080600,simp
7.250000,8,right,4.404565,-0.599397,-0.284423,0.258693,simp
7.285000,10,left,4.131691,-2.148581,-0.182117,0.067805,simp
7.285000,8,right,4.372575,-0.540372,-0.330674,0.260149,simp
7.325000,10,left,4.149716,-2.093540,-0.170202,0.057161,simp
7.325000,8,right,4.353018,-0.483693,-0.373269,0.258766,simp
7.370000,10,left,4.168173,-2.038949,-0.159114,0.048298,simp
7.370000,8,right,4.345294,-0.428817,-0.410005,0.254616,simp
7.405000,10,left,4.186111,-1.984314,-0.148819,0.040991,simp
7.405000,8,right,4.347318,-0.375105,-0.439374,0.247933,simp
7.445000,10,left,4.199459,-1.927765,-0.140056,0.035380,simp
7.445000,8,right,4.349673,-0.321481,-0.461886,0.239140,simp
7.485000,10,left,4.207280,-1.869071,-0.133675,0.031618,simp
7.485000,8,right,4.351166,-0.267844,-0.478275,0.228645,simp
7.520000,10,left,4.209540,-1.808434,-0.130322,0.029775,simp
7.520000,8,right,4.351788,-0.214209,-0.489128,0.216799,simp
7.575000,10,left,4.206105,-1.746014,-0.130662,0.029866,simp
7.575000,8,right,4.351582,-0.160592,-0.495073,0.203912,simp
7.605000,10,left,4.196917,-1.682007,-0.135282,0.031856,simp
7.605000,8,right,4.350456,-0.107007,-0.496727,0.190269,simp
7.650000,10,left,4.181988,-1.616633,-0.144518,0.035641,simp
7.650000,8,right,4.348397,-0.053470,-0.494515,0.176098,simp
7.680000,10,left,4.161246,-1.550078,-0.158829,0.041079,simp
7.680000,8,right,4.345427,0.000000,-0.489013,0.161594,simp
7.725000,10,left,4.143026,-1.485542,-0.176886,0.047424,simp
7.725000,8,right,4.324637,0.053178,-0.483794,0.146884,simp
7.765000,10,left,4.125958,-1.422416,-0.197827,0.054135,simp
7.765000,8,right,4.319810,0.106253,-0.475747,0.132071,simp
7.805000,10,left,4.113189,-1.361663,-0.219967,0.060613,simp
7.805000,8,right,4.314611,0.159228,-0.464925,0.117344,simp
7.840000,10,left,4.103541,-1.302707,-0.242722,0.066811,simp
7.840000,8,right,4.310257,0.212164,-0.451959,0.103310,simp
7.885000,10,left,4.097473,-1.245534,-0.264612,0.072678,simp
7.885000,8,right,4.306641,0.265103,-0.436612,0.090377,simp
7.925000,10,left,4.163295,-1.265543,-0.271897,0.063958,simp
7.925000,8,right,4.303741,0.318087,-0.419081,0.078812,simp
7.960000,10,left,4.146729,-1.205012,-0.281394,0.057919,simp
7.960000,8,right,4.301597,0.371160,-0.399509,0.068806,simp
8.000000,10,left,4.143183,-1.148930,-0.290191,0.053586,simp
8.005000,8,right,4.299145,0.424263,-0.378259,0.060467,simp
8.045000,10,left,4.142455,-1.094060,-0.297654,0.050696,simp
8.045000,8,right,4.285533,0.476194,-0.357711,0.053619,simp
8.085000,10,left,4.142702,-1.039808,-0.303594,0.049105,simp
