session_id,run_id,time,gap_id,side,x,y,vx,vy,ns
dgap_26-05-05_10-40-58,0,5.445000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.445000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.485000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.485000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.520000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.520000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.560000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.560000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.605000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.605000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.645000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.645000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.680000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.680000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.725000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.725000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.725000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.725000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.770000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.770000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.770000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.770000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.805000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.805000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.805000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.805000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.860000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.860000,9,right,3.871110,-3.106623,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.860000,10,left,3.702844,-3.283560,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.860000,11,right,4.392571,-2.353306,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,5.885000,8,left,4.335946,-2.462063,0.000000,0.000000,simp
