sample_idx,gap_index,model_id,side,x,y,kalman_vx,kalman_vy,perfect_rel_vx,perfect_rel_vy,perfect_world_robot_vx,perfect_world_robot_vy,matched_agent_id,match_dist,matched_dynamic_agent
0,0,2,left,-0.415057,4.643636,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
1,0,3,right,4.508543,-0.500974,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
2,0,2,left,-0.415057,4.643636,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
3,0,3,right,4.508543,-0.500974,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
4,0,2,left,-0.415057,4.643636,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
5,0,3,right,4.508543,-0.500974,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
6,0,2,left,-0.415057,4.643636,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
7,0,3,right,4.508543,-0.500974,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
8,0,2,left,-0.415057,4.643636,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
9,0,3,right,4.508543,-0.500974,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
10,0,2,left,-0.415057,4.643636,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
11,0,3,right,4.508543,-0.500974,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
12,0,7,left,3.327469,-0.245931,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
13,0,8,right,4.733969,-1.502842,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
14,1,2,left,-0.916595,4.830773,-0.020565,0.007673,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
15,1,9,right,3.327469,0.245931,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,,-1.000000,0
16,0,7,left,3.327469,-0.245931,0.000000,0.000000,0.000000,0.016667,0.000000,0.016667,agent0,0.300870,1
17,0,8,right,4.733969,-1.502842,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,agent0,1.944964,0
18,1,2,left,-0.916595,4.830773,-0.522759,0.195055,-0.000000,-0.000000,0.000000,0.000000,agent0,6.545022,0
19,1,9,right,3.327469,0.245931,0.000000,0.000000,0.000000,0.016667,0.000000,0.016667,agent0,0.299960,1
20,0,7,left,3.330091,-0.246125,0.000693,-0.000051,0.000000,0.032222,0.000000,0.032222,agent0,0.300419,1
21,0,8,right,4.733969,-1.502842,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,agent0,1.945794,0
22,1,2,left,-0.916595,4.830773,-0.670367,0.250131,-0.000000,-0.000000,0.000000,0.000000,agent0,6.544229,0
23,1,9,right,3.446153,0.297349,0.031377,0.013594,0.000000,0.032222,0.000000,0.032222,agent0,0.300581,1
24,0,7,left,3.332196,-0.246280,0.002524,-0.000187,-0.071670,0.066615,0.000000,0.046741,agent0,0.300653,1
25,0,8,right,4.733339,-1.502643,-0.000303,0.000096,-0.071670,0.019875,0.000000,0.000000,agent0,1.946446,0
26,1,2,left,-0.917328,4.834636,-0.731979,0.275908,-0.071670,0.019875,0.000000,0.000000,agent0,6.546424,0
27,1,9,right,3.430564,0.296003,0.060930,0.028998,-0.071670,0.066615,0.000000,0.046741,agent0,0.300936,1
28,0,7,left,3.331277,-0.246212,-0.169190,0.047663,-0.239136,0.126605,0.000000,0.060291,agent0,0.302543,1
29,0,8,right,4.727433,-1.500767,-0.177308,0.049347,-0.239136,0.066314,0.000000,0.000000,agent0,1.943422,0
30,1,2,left,-0.924202,4.870862,-0.928220,0.360003,-0.239136,0.066314,0.000000,0.000000,agent0,6.575708,0
31,1,9,right,3.400563,0.293415,-0.103970,0.089680,-0.239136,0.126605,0.000000,0.060291,agent0,0.304466,1
32,0,7,left,3.327889,-0.245962,-0.304697,0.084889,-0.375160,0.176973,0.000000,0.072939,agent0,0.304089,1
33,0,8,right,4.716301,-1.497234,-0.323302,0.090323,-0.375160,0.104034,0.000000,0.000000,agent0,1.941253,0
34,1,2,left,-0.936180,4.622884,-1.065170,0.226443,-0.375160,0.104034,0.000000,0.000000,agent0,6.394917,0
35,1,9,right,3.363109,0.290183,-0.261845,0.134371,-0.375160,0.176973,0.000000,0.072939,agent0,0.308903,1
36,0,7,left,3.323663,-0.245650,-0.406904,0.112200,-0.433272,0.215909,0.000000,0.095760,agent0,0.305387,1
37,0,8,right,4.700927,-1.492353,-0.443011,0.124425,-0.433272,0.120149,0.000000,0.000000,agent0,1.950165,0
38,1,2,left,-0.954053,4.711143,-1.157633,0.191793,-0.433272,0.120149,0.000000,0.000000,agent0,6.448152,0
39,1,9,right,3.321832,0.286622,-0.415402,0.162925,-0.433272,0.215909,0.000000,0.095760,agent0,0.304462,1
40,0,7,left,3.331323,-0.246216,-0.468664,0.129897,-0.575388,0.265601,0.000000,0.106043,agent0,0.301867,1
41,0,8,right,4.682106,-1.486378,-0.540198,0.152686,-0.575388,0.159559,0.000000,0.000000,agent0,1.953015,0
42,1,2,left,-0.975933,4.819187,-1.216453,0.241013,-0.575388,0.159559,0.000000,0.000000,agent0,6.522074,0
43,1,9,right,3.272135,0.282334,-0.566818,0.176596,-0.575388,0.265601,0.000000,0.106043,agent0,0.309424,1
44,0,7,left,3.342625,-0.247051,-0.494523,0.139461,-0.648281,0.295412,0.000000,0.115640,agent0,0.300452,1
45,0,8,right,4.660484,-1.479514,-0.618210,0.175941,-0.648281,0.179772,0.000000,0.000000,agent0,1.956660,0
46,1,2,left,-1.000146,4.644439,-1.249865,0.152429,-0.648281,0.179772,0.000000,0.000000,agent0,6.388163,0
47,1,9,right,3.313798,0.327023,-0.630276,0.220493,-0.648281,0.295412,0.000000,0.115640,agent0,0.308448,1
