time,gap_id,side,x,y,vx,vy,ns
5.285000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
5.285000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
5.325000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
5.325000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
5.360000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
5.360000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
5.400000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
5.400000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
5.440000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
5.440000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
5.485000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
5.485000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
5.520000,2,left,-0.415057,4.643636,0.000000,0.000000,simp
5.520000,3,right,4.508543,-0.500974,0.000000,0.000000,simp
5.560000,5,left,-4.729970,-0.673323,0.000000,0.000000,simp
5.560000,3,right,4.730206,-0.703053,0.010902,-0.009939,simp
5.600000,5,left,-4.729760,-0.673293,0.000000,0.000000,simp
5.600000,3,right,4.730131,-0.703042,0.251658,-0.229487,simp
5.640000,5,left,-4.729604,-0.673271,0.000069,0.000010,simp
5.640000,3,right,4.729978,-0.703019,0.312895,-0.285429,simp
5.680000,5,left,-4.729481,-0.673253,0.000210,0.000030,simp
5.680000,3,right,4.729775,-0.702989,0.335189,-0.305929,simp
5.730000,5,left,-4.729398,-0.673241,0.000397,0.000057,simp
5.730000,3,right,4.729562,-0.702957,0.339338,-0.309934,simp
5.760000,5,left,-4.728533,-0.673118,0.003454,0.000174,simp
5.760000,3,right,4.730143,-0.703044,0.335030,-0.303790,simp
5.800000,5,left,-4.695284,-0.668385,0.032071,0.001910,simp
5.805000,3,right,4.764234,-0.708111,0.344619,-0.292619,simp
5.845000,5,left,-4.622398,-0.658010,0.118539,0.004001,simp
5.845000,3,right,4.842866,-0.719798,0.396928,-0.278593,simp
5.885000,5,left,-4.999896,0.030740,-0.140901,0.581607,simp
5.885000,3,right,4.552902,-0.734026,0.237148,-0.261355,simp
5.930000,5,left,-4.763130,-0.618390,-0.124871,0.433978,simp
5.930000,3,right,4.693701,-0.756726,0.204496,-0.244009,simp
5.960000,5,left,-4.594773,-0.596533,0.023645,0.313844,simp
5.965000,3,right,4.873448,-0.785705,0.284541,-0.228502,simp
6.000000,5,left,-4.999896,0.030740,-0.156862,0.647122,simp
6.000000,3,right,4.624152,-0.803968,0.203079,-0.209012,simp
6.045000,5,left,-4.999896,0.030740,-0.275487,0.851904,simp
6.045000,3,right,4.751089,-0.826038,0.207296,-0.191097,simp
6.085000,5,left,-4.607805,-0.540702,-0.115300,0.625205,simp
6.085000,3,right,4.857920,-0.844612,0.260525,-0.175369,simp
6.135000,5,left,-4.999896,0.030740,-0.211606,0.755293,simp
6.135000,3,right,4.535286,-0.846095,0.153480,-0.155580,simp
6.165000,5,left,-4.999896,0.030740,-0.274474,0.828782,simp
6.165000,3,right,4.594694,-0.857178,0.097449,-0.138377,simp
6.200000,5,left,-4.999896,0.030740,-0.313366,0.863439,simp
6.205000,3,right,4.641137,-0.865842,0.073537,-0.123501,simp
6.245000,5,left,-4.999896,0.030740,-0.335151,0.871825,simp
6.245000,3,right,4.676185,-0.872380,0.068736,-0.110618,simp
6.285000,5,left,-4.999896,0.030740,-0.344755,0.862697,simp
6.285000,3,right,4.701668,-0.877135,0.074402,-0.099391,simp
6.330000,5,left,-4.999896,0.030740,-0.345707,0.842109,simp
6.330000,3,right,4.719339,-0.880431,0.084978,-0.089524,simp
6.365000,5,left,-4.999896,0.030740,-0.340542,0.814229,simp
6.365000,3,right,4.730556,-0.882524,0.096962,-0.080772,simp
6.405000,5,left,-4.999896,0.030740,-0.331087,0.781920,simp
6.405000,3,right,4.736223,-0.883581,0.108155,-0.072926,simp
6.445000,5,left,-4.999896,0.030740,-0.318661,0.747151,simp
6.445000,3,right,4.737166,-0.883757,0.117251,-0.065830,simp
6.485000,5,left,-4.999896,0.030740,-0.304208,0.711257,simp
6.485000,3,right,4.734163,-0.883197,0.123558,-0.059356,simp
6.530000,5,left,-4.999896,0.030740,-0.288416,0.675145,simp
6.530000,3,right,4.727673,-0.881986,0.126730,-0.053408,simp
6.560000,5,left,-4.999896,0.030740,-0.271779,0.639419,simp
6.560000,3,right,4.718330,-0.880243,0.126701,-0.047910,simp
6.600000,5,left,-4.999896,0.030740,-0.254654,0.604472,simp
6.600000,3,right,4.706748,-0.878082,0.123599,-0.042809,simp
6.645000,5,left,-4.999896,0.030740,-0.237299,0.570549,simp
6.645000,3,right,4.693398,-0.875592,0.117653,-0.038064,simp
6.685000,5,left,-4.999896,0.030740,-0.219906,0.537800,simp
6.685000,3,right,4.678570,-0.872825,0.109126,-0.033638,simp
6.730000,5,left,-4.999896,0.030740,-0.202616,0.506312,simp
6.730000,3,right,4.662413,-0.869811,0.098265,-0.029502,simp
6.760000,5,left,-4.999896,0.030740,-0.185532,0.476130,simp
6.760000,3,right,4.645222,-0.866604,0.085341,-0.025637,simp
6.805000,8,left,4.940181,0.734262,-0.000000,-0.000000,simp
6.805000,3,right,4.627537,-0.863305,0.070691,-0.022032,simp
6.805000,5,left,-4.999896,0.030740,-0.168729,0.447264,simp
6.805000,9,right,4.928337,0.794555,-0.000000,-0.000000,simp
6.845000,8,left,4.929320,0.732648,-0.000004,-0.000001,simp
6.845000,3,right,4.609581,-0.859955,0.054642,-0.018672,simp
6.845000,5,left,-4.999896,0.030740,-0.152261,0.419697,simp
6.845000,9,right,4.916018,0.854713,-0.000004,-0.000001,simp
6.885000,8,left,4.945723,0.673040,0.004651,-0.017176,simp
6.885000,3,right,4.591482,-0.856578,0.037494,-0.015547,simp
6.885000,5,left,-4.999896,0.030740,-0.136175,0.393405,simp
6.885000,9,right,4.903011,0.852451,-0.003297,0.006154,simp
6.925000,8,left,4.936185,0.671742,0.007706,-0.039569,simp
6.925000,3,right,4.573112,-0.853151,0.019471,-0.012640,simp
6.925000,5,left,-4.999896,0.030740,-0.120510,0.368363,simp
6.925000,9,right,4.900823,0.914289,-0.006070,0.041678,simp
6.985000,8,left,4.919522,0.669475,0.002520,-0.064197,simp
6.985000,3,right,4.554404,-0.849661,0.000726,-0.009952,simp
6.985000,5,left,-4.999896,0.030740,-0.105322,0.344542,simp
6.985000,9,right,4.877992,0.910029,-0.020649,0.070770,simp
7.010000,8,left,4.959923,0.612957,0.032674,-0.130571,simp
7.010000,3,right,4.535465,-0.846128,-0.018490,-0.007444,simp
7.010000,5,left,-4.999896,0.030740,-0.090559,0.321947,simp
7.010000,9,right,4.887672,0.974171,-0.021961,0.141871,simp
7.080000,8,left,4.945908,0.611225,0.048523,-0.185478,simp
7.080000,3,right,4.920829,-0.855549,0.040036,-0.007649,simp
7.080000,5,left,-4.592471,-0.538903,0.002640,0.190135,simp
7.080000,9,right,4.862573,0.969168,-0.039725,0.189039,simp
7.110000,8,left,4.939084,0.610382,0.057206,-0.225596,simp
7.110000,3,right,4.897223,-0.851445,0.086792,-0.007533,simp
7.110000,5,left,-4.614408,-0.541477,0.080191,0.074416,simp
7.110000,9,right,4.889511,1.037203,-0.024859,0.275502,simp
7.155000,8,left,4.925879,0.608750,0.054327,-0.252254,simp
7.155000,3,right,4.873211,-0.847270,0.123005,-0.007229,simp
7.155000,5,left,-4.637110,-0.544141,0.143628,-0.026764,simp
7.155000,9,right,4.860607,1.031072,-0.033705,0.322361,simp
7.185000,8,left,4.919752,0.607993,0.049150,-0.266780,simp
7.190000,3,right,4.849214,-0.843098,0.149778,-0.006677,simp
7.190000,5,left,-4.999896,0.030740,0.129683,-0.004710,simp
7.190000,9,right,4.842179,1.027163,-0.050317,0.339652,simp
7.205000,8,left,4.913888,0.607268,0.042959,-0.272246,simp
7.205000,3,right,4.825667,-0.839004,0.168274,-0.006044,simp
7.205000,5,left,-4.999896,0.030740,0.117257,0.015237,simp
7.205000,9,right,4.824215,1.023352,-0.070765,0.335824,simp
7.245000,8,left,4.908353,0.606584,0.036654,-0.271332,simp
7.245000,3,right,4.802408,-0.834960,0.179447,-0.005270,simp
7.245000,5,left,-4.999896,0.030740,0.106210,0.033297,simp
7.245000,9,right,4.873256,1.096539,-0.045064,0.373052,simp
7.285000,8,left,4.903248,0.605953,0.030885,-0.266336,simp
7.285000,3,right,4.779189,-0.830923,0.184156,-0.004415,simp
7.285000,5,left,-4.999896,0.030740,0.096454,0.049565,simp
7.285000,9,right,4.849736,1.091247,-0.038153,0.383756,simp
7.345000,8,left,4.892075,0.604573,0.022092,-0.259364,simp
7.345000,3,right,4.756886,-0.827046,0.183343,-0.003524,simp
7.345000,5,left,-4.999896,0.030740,0.087895,0.064146,simp
7.345000,9,right,4.816682,1.083810,-0.049344,0.375623,simp
