gap=(3, 'right') | true vx,vy=( 0.313, -0.285) | pred vx,vy=( 0.098, -0.002)
gap=(3, 'right') | true vx,vy=( 0.335, -0.306) | pred vx,vy=( 0.098, -0.003)
gap=(3, 'right') | true vx,vy=( 0.339, -0.310) | pred vx,vy=( 0.098, -0.003)
gap=(3, 'right') | true vx,vy=( 0.335, -0.304) | pred vx,vy=( 0.098, -0.003)
gap=(3, 'right') | true vx,vy=( 0.345, -0.293) | pred vx,vy=( 0.097, -0.003)
gap=(3, 'right') | true vx,vy=( 0.397, -0.279) | pred vx,vy=( 0.098, -0.004)
gap=(3, 'right') | true vx,vy=( 0.237, -0.261) | pred vx,vy=( 0.097, -0.004)
gap=(3, 'right') | true vx,vy=( 0.204, -0.244) | pred vx,vy=( 0.096, -0.004)
gap=(3, 'right') | true vx,vy=( 0.285, -0.229) | pred vx,vy=( 0.097, -0.006)
gap=(3, 'right') | true vx,vy=( 0.203, -0.209) | pred vx,vy=( 0.098, -0.007)
gap=(3, 'right') | true vx,vy=( 0.207, -0.191) | pred vx,vy=( 0.098, -0.007)
gap=(3, 'right') | true vx,vy=( 0.261, -0.175) | pred vx,vy=( 0.099, -0.008)
gap=(3, 'right') | true vx,vy=( 0.153, -0.156) | pred vx,vy=( 0.099, -0.009)
gap=(3, 'right') | true vx,vy=( 0.097, -0.138) | pred vx,vy=( 0.099, -0.009)
gap=(3, 'right') | true vx,vy=( 0.074, -0.124) | pred vx,vy=( 0.099, -0.009)
gap=(3, 'right') | true vx,vy=( 0.069, -0.111) | pred vx,vy=( 0.099, -0.010)
gap=(3, 'right') | true vx,vy=( 0.074, -0.099) | pred vx,vy=( 0.099, -0.010)
gap=(3, 'right') | true vx,vy=( 0.085, -0.090) | pred vx,vy=( 0.099, -0.010)
gap=(3, 'right') | true vx,vy=( 0.097, -0.081) | pred vx,vy=( 0.099, -0.011)
gap=(3, 'right') | true vx,vy=( 0.108, -0.073) | pred vx,vy=( 0.099, -0.011)
gap=(3, 'right') | true vx,vy=( 0.117, -0.066) | pred vx,vy=( 0.099, -0.011)
gap=(3, 'right') | true vx,vy=( 0.124, -0.059) | pred vx,vy=( 0.099, -0.011)
gap=(3, 'right') | true vx,vy=( 0.127, -0.053) | pred vx,vy=( 0.099, -0.011)
gap=(3, 'right') | true vx,vy=( 0.127, -0.048) | pred vx,vy=( 0.098, -0.011)
gap=(3, 'right') | true vx,vy=( 0.124, -0.043) | pred vx,vy=( 0.098, -0.011)
gap=(3, 'right') | true vx,vy=( 0.118, -0.038) | pred vx,vy=( 0.098, -0.011)
gap=(3, 'right') | true vx,vy=( 0.109, -0.034) | pred vx,vy=( 0.098, -0.011)
gap=(3, 'right') | true vx,vy=( 0.098, -0.030) | pred vx,vy=( 0.098, -0.010)
gap=(3, 'right') | true vx,vy=( 0.085, -0.026) | pred vx,vy=( 0.098, -0.010)
gap=(3, 'right') | true vx,vy=( 0.071, -0.022) | pred vx,vy=( 0.098, -0.010)
gap=(3, 'right') | true vx,vy=( 0.055, -0.019) | pred vx,vy=( 0.098, -0.010)
gap=(3, 'right') | true vx,vy=( 0.037, -0.016) | pred vx,vy=( 0.097, -0.010)
gap=(3, 'right') | true vx,vy=( 0.019, -0.013) | pred vx,vy=( 0.097, -0.009)
gap=(3, 'right') | true vx,vy=( 0.001, -0.010) | pred vx,vy=( 0.097, -0.009)
gap=(3, 'right') | true vx,vy=(-0.018, -0.007) | pred vx,vy=( 0.097, -0.009)
